Order Number,Order Date,Net Amount,Line Number,Part Description,Unit Cost,Order Quantity,Line Cost,Vendor ID,Vendor Name,Location Name
TSF/06169     ,15/02/2024,6494,1,"HEAT ALARM, THERMISTEK WHT-630, WIRELESS CONNECTIVITY       ",260.00,10,2600,17284       ,FIREANGEL SAFETY TECHNOLOGY LD,"(SW) CFS TEAM - HAMMERSMITH FS, 4TH FLOOR                   "
TSF/06169     ,15/02/2024,6494,2,STROBE & VIBRATING PAD PACK                                 ,389.40,10,3894,17284       ,FIREANGEL SAFETY TECHNOLOGY LD,"(SW) CFS TEAM - HAMMERSMITH FS, 4TH FLOOR                   "
TSF/06847     ,27/03/2024,6600,1,CONFERENCE ACCOMODATION/HOTEL FEES                          ,"6,600.00",1,6600,14539       ,GATR                          ,CENTRAL FIU DOWGATE                                         
TSF/06105     ,12/02/2024,6350,1,"PROFESSIONAL SERVICES, FINANCE CONSULTANCY                  ",200.00,32,6350,21121       ,LAVAT CONSULTING LTD T/A PSTAX,"FINANCE ACCOUNTANCY, SERVICE ACCOUNTS                       "
TSF/06641     ,08/03/2024,10000,1,"PROFESSIONAL SERVICES, FINANCE CONSULTANCY                  ",200.00,50,10000,21121       ,LAVAT CONSULTING LTD T/A PSTAX,"FINANCE ACCOUNTANCY, SERVICE ACCOUNTS                       "
TSF/05644     ,18/01/2024,8920,1,"PROFESSIONAL SERVICES, FINANCE CONSULTANCY                  ",892.00,10,8920,21038       ,GATENBY SANDERSON LTD         ,FINANCE DEPARTMENT MANAGEMENT & ADMIN                       
TSF/06879     ,28/03/2024,8920,1,"PROFESSIONAL SERVICES, FINANCE CONSULTANCY                  ","8,920.00",1,8920,21038       ,GATENBY SANDERSON LTD         ,FINANCE DEPARTMENT MANAGEMENT & ADMIN                       
TSF/05410     ,03/01/2024,7247.1,1,HARDWARE PURCHASE             (ICT)                         ,9.00,300,2700,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05410     ,03/01/2024,7247.1,2,HARDWARE PURCHASE             (ICT)                         ,8.00,300,2400,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05410     ,03/01/2024,7247.1,3,HARDWARE PURCHASE             (ICT)                         ,4.50,300,1350,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05410     ,03/01/2024,7247.1,4,HARDWARE PURCHASE             (ICT)                         ,2.27,40,90.8,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05410     ,03/01/2024,7247.1,5,HARDWARE PURCHASE             (ICT)                         ,15.31,30,459.3,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05410     ,03/01/2024,7247.1,6,HARDWARE PURCHASE             (ICT)                         ,12.35,20,247,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/06828     ,25/03/2024,6252,1,SOFTWARE LICENCES             (ICT)                         ,94.44,20,1888.8,10026       ,PHOENIX SOFTWARE LTD          ,ICT - SERVICE MANAGEMENT                                    
TSF/06828     ,25/03/2024,6252,2,SOFTWARE LICENCES             (ICT)                         ,78.70,20,1574,10026       ,PHOENIX SOFTWARE LTD          ,ICT - SERVICE MANAGEMENT                                    
TSF/06828     ,25/03/2024,6252,3,SOFTWARE LICENCES             (ICT)                         ,102.00,15,1530,10026       ,PHOENIX SOFTWARE LTD          ,ICT - SERVICE MANAGEMENT                                    
TSF/06828     ,25/03/2024,6252,4,SOFTWARE LICENCES             (ICT)                         ,62.96,20,1259.2,10026       ,PHOENIX SOFTWARE LTD          ,ICT - SERVICE MANAGEMENT                                    
